Project Geographic District ,Project School Name,Project Type ,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date
15,BROOKLYN FRONTIERS HIGH SCHOOL,SCA CIP,Construction,In-Progress,12/08/2017,07/05/2018,
15,BROOKLYN FRONTIERS HIGH SCHOOL,SCA CIP,"CM, F&E",In-Progress,12/08/2017,07/05/2018,
15,P.S. @ 4302 4TH AVE - BROOKLYN,SCA Capacity,Scope,Complete,06/12/2017,11/16/2017,11/16/2017
15,P.S. @ 4302 4TH AVE - BROOKLYN,SCA Capacity,Design,In-Progress,11/17/2017,06/12/2018,
15,P.S. @ 4302 4TH AVE - BROOKLYN,SCA Capacity,Construction,PNS,PNS,PNS,PNS
15,P.S. @ 4302 4TH AVE - BROOKLYN,SCA Capacity,"CM,Art,F&E",PNS,PNS,PNS,PNS
15,P.S. @ 4302 4TH AVE - BROOKLYN,SCA Capacity,Scope,Complete,04/10/2017,04/10/2017,04/10/2017
15,P.S. @ 4302 4TH AVE - BROOKLYN,SCA Capacity,Design,Complete,04/10/2017,04/10/2017,04/10/2017
15,P.S. @ 4302 4TH AVE - BROOKLYN,SCA Capacity,Construction,In-Progress,06/20/2017,08/15/2017,
15,P.S. @ 4302 4TH AVE - BROOKLYN,SCA Capacity,"CM,Art,F&E",In-Progress,06/20/2017,08/15/2017,
15,P.S. @ 4302 4TH AVE - BROOKLYN,SCA CIP,Scope,Complete,08/14/2017,08/14/2017,08/14/2017
15,P.S. @ 4302 4TH AVE - BROOKLYN,SCA CIP,Design,In-Progress,08/15/2017,01/31/2018,
15,P.S. @ 4302 4TH AVE - BROOKLYN,SCA CIP,Construction,PNS,PNS,PNS,PNS
15,P.S. @ 4302 4TH AVE - BROOKLYN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
15,BUSHWICK COMMUNITY HS - BROOKL,SCA CIP,Scope,Complete,04/29/2014,07/30/2014,12/04/2014
15,BUSHWICK COMMUNITY HS - BROOKL,SCA CIP,Design,Complete,12/04/2014,04/06/2015,12/21/2016
15,BUSHWICK COMMUNITY HS - BROOKL,SCA CIP,Construction,PNS,PNS,PNS,PNS
15,BUSHWICK COMMUNITY HS - BROOKL,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
15,SUNSET PARK HS - BROOKLYN,SCA CIP RESOA,Scope,Complete,01/20/2017,03/20/2017,02/23/2017
15,SUNSET PARK HS - BROOKLYN,SCA CIP RESOA,Design,In-Progress,05/18/2017,10/03/2017,
15,SUNSET PARK HS - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
15,SUNSET PARK HS - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
15,BROOKLYN HS OF THE ARTS,SCA CIP,Scope,Complete,07/22/2013,10/21/2013,12/03/2013
15,BROOKLYN HS OF THE ARTS,SCA CIP,Design,Complete,12/11/2013,06/16/2014,07/08/2015
15,BROOKLYN HS OF THE ARTS,SCA CIP,Construction,In-Progress,10/14/2015,01/05/2017,
15,BROOKLYN HS OF THE ARTS,SCA CIP,"CM, F&E",In-Progress,10/14/2015,01/05/2017,
15,BROOKLYN HS OF THE ARTS,SCA CIP,Scope,Complete,12/18/2013,05/06/2014,10/14/2014
15,BROOKLYN HS OF THE ARTS,SCA CIP,Design,Complete,11/24/2014,04/28/2015,04/24/2015
15,BROOKLYN HS OF THE ARTS,SCA CIP,Construction,Complete,07/22/2015,10/13/2016,11/20/2017
15,BROOKLYN HS OF THE ARTS,SCA CIP,"CM, F&E",Complete,07/22/2015,10/13/2016,11/20/2017
15,I.S. 447 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,05/26/2017,01/15/2018,09/25/2017
15,BROOKLYN HS OF THE ARTS - BROO,DOE- RESOA,Construction,In-Progress,12/02/2016,DOER,
15,BROOKLYN HS OF THE ARTS - BROO,DOE - Skilled Trades,Construction,In-Progress,11/16/2015,DOES,
15,BROOKLYN HS OF THE ARTS,SCA CIP,Scope,Complete,07/22/2013,10/21/2013,12/03/2013
15,BROOKLYN HS OF THE ARTS,SCA CIP,Design,Complete,12/11/2013,06/16/2014,07/08/2015
15,BROOKLYN HS OF THE ARTS,SCA CIP,Construction,In-Progress,10/14/2015,01/05/2017,
15,BROOKLYN HS OF THE ARTS,SCA CIP,"CM, F&E",In-Progress,10/14/2015,01/05/2017,
15,BROOKLYN HS OF THE ARTS,SCA CIP,Scope,Complete,05/18/2017,10/19/2017,07/18/2017
15,BROOKLYN HS OF THE ARTS,SCA CIP,Design,In-Progress,07/20/2017,12/21/2017,
15,BROOKLYN HS OF THE ARTS,SCA CIP,Construction,PNS,PNS,PNS,PNS
15,BROOKLYN HS OF THE ARTS,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
15,BROOKLYN HS OF THE ARTS - BROO,DOE - Skilled Trades,Construction,In-Progress,12/23/2016,DOES,
15,PRE-K CENTER @ 219 25TH STREET,PRE-K,Scope,Complete,07/06/2015,07/30/2015,07/31/2015
15,PRE-K CENTER @ 219 25TH STREET,PRE-K,Design,Complete,08/03/2015,10/26/2015,01/06/2016
15,PRE-K CENTER @ 219 25TH STREET,PRE-K,Construction,Complete,04/20/2016,06/13/2017,09/06/2017
5,I.S. 286 - MANHATTAN,SCA CIP,Scope,Complete,03/30/2017,08/14/2017,09/14/2017
5,I.S. 286 - MANHATTAN,SCA CIP,Design,In-Progress,10/02/2017,03/08/2018,
5,I.S. 286 - MANHATTAN,SCA CIP,Construction,PNS,PNS,PNS,PNS
5,I.S. 286 - MANHATTAN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
5,I.S. 367 - MANHATTAN,SCA CIP,Scope,Complete,11/17/2017,03/22/2018,11/29/2017
5,I.S. 367 - MANHATTAN,SCA CIP,Design,In-Progress,11/29/2017,05/25/2018,
5,I.S. 367 - MANHATTAN,SCA CIP,Construction,PNS,PNS,PNS,PNS
5,I.S. 367 - MANHATTAN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
5,URBAN ASSEMBLY SCHOOL,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
5,URBAN ASSEMBLY SCHOOL,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
5,URBAN ASSEMBLY SCHOOL,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
5,URBAN ASSEMBLY SCHOOL,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
5,I.S. 367 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
5,I.S. 367 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
5,I.S. 367 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
5,I.S. 367 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
5,I.S. 286 - MANHATTAN,Fast Track Projects,Construction,Complete,03/15/2017,FTK,09/29/2017
5,I.S. 286 - MANHATTAN,DIIT - RESOA,Purch & Install,Complete,05/19/2017,01/15/2018,09/29/2017
5,I.S. 367 - MANHATTAN,DOE - Skilled Trades,Construction,In-Progress,01/15/2015,DOES,
5,P.S. 46 - MANHATTAN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
5,M079 SPED - MANHATTAN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
5,P.S. 92 - MANHATTAN,SCA CIP,Scope,Complete,10/31/2014,02/05/2015,02/26/2015
5,P.S. 92 - MANHATTAN,SCA CIP,Design,In-Progress,04/08/2015,09/08/2015,
5,P.S. 92 - MANHATTAN,SCA CIP,Construction,PNS,PNS,PNS,PNS
5,P.S. 92 - MANHATTAN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
5,P.S. 92 - MANHATTAN,SCA IEH,Construction,Complete,08/11/2017,IEH,10/07/2017
5,P.S. 92 - MANHATTAN,Fast Track Projects,Construction,In-Progress,09/02/2014,FTK,
5,P.S. 123 - MANHATTAN,SCA CIP,Scope,Complete,11/14/2014,04/03/2015,03/25/2015
5,P.S. 123 - MANHATTAN,SCA CIP,Design,Complete,04/28/2015,09/28/2015,12/10/2015
5,P.S. 123 - MANHATTAN,SCA CIP,Construction,In-Progress,07/18/2016,10/10/2017,
5,P.S. 123 - MANHATTAN,SCA CIP,"CM, F&E",In-Progress,07/18/2016,10/10/2017,
5,P.S. 123 - MANHATTAN,SCA IEH,Construction,Complete,07/14/2017,IEH,07/18/2017
5,P.S. 123 - MANHATTAN,DOE - Skilled Trades,Construction,In-Progress,07/24/2017,DOES,
5,P.S. 125 - MANHATTAN,SCA CIP,Scope,Complete,09/20/2017,02/20/2018,12/08/2017
5,P.S. 125 - MANHATTAN,SCA CIP,Design,PNS,PNS,PNS,PNS
5,P.S. 125 - MANHATTAN,SCA CIP,Construction,PNS,PNS,PNS,PNS
5,P.S. 125 - MANHATTAN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
5,P.S. 125 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
5,P.S. 125 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
5,P.S. 125 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
5,P.S. 125 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
5,I.S. 362 - MANHATTAN,SCA IEH,Construction,Complete,06/30/2014,IEH,09/30/2017
5,I.S. 362 - MANHATTAN,SCA Furniture & Equi,F&E,PNS,PNS,PNS,PNS
5,I.S. 362 - MANHATTAN,DIIT - RESOA,Purch & Install,Complete,05/26/2017,01/15/2018,09/01/2017
5,P.S. 125 - MANHATTAN,DOE- RESOA,Construction,Complete,01/04/2017,11/15/2017,11/15/2017
5,I.S. 362 - MANHATTAN,DOE - Skilled Trades,Construction,In-Progress,08/03/2015,DOES,
5,P.S. 129 - MANHATTAN,SCA CIP,Scope,Complete,03/05/2015,06/18/2015,06/19/2015
5,P.S. 129 - MANHATTAN,SCA CIP,Design,Complete,07/01/2015,12/03/2015,08/03/2016
5,P.S. 129 - MANHATTAN,SCA CIP,Construction,Complete,10/17/2016,07/13/2017,07/14/2017
5,P.S. 129 - MANHATTAN,SCA CIP,"CM, F&E",Complete,10/17/2016,07/13/2017,07/14/2017
5,P.S. 129 - MANHATTAN,DOE - Skilled Trades,Construction,In-Progress,02/06/2017,DOES,
5,P.S. 133 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
5,P.S. 133 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
5,P.S. 133 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
5,P.S. 133 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
5,P.S. 133 - MANHATTAN,SCA IEH,Construction,Complete,11/17/2017,IEH,11/19/2017
5,I.S. 302 - MANHATTAN,SCA CIP,Scope,Complete,02/16/2017,04/14/2017,03/22/2017
5,I.S. 302 - MANHATTAN,SCA CIP,Design,PNS,PNS,PNS,PNS
5,I.S. 302 - MANHATTAN,SCA CIP,Construction,PNS,PNS,PNS,PNS
5,I.S. 302 - MANHATTAN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
5,EAGLE ACADEMY FOR YOUNG MEN,SCA CIP RESOA,Scope,Complete,01/11/2016,05/11/2016,02/24/2016
5,EAGLE ACADEMY FOR YOUNG MEN,SCA CIP RESOA,Design,Complete,05/09/2016,10/07/2016,10/18/2016
5,EAGLE ACADEMY FOR YOUNG MEN,SCA CIP RESOA,Construction,Complete,03/24/2017,10/19/2017,09/28/2017
5,EAGLE ACADEMY FOR YOUNG MEN,SCA CIP RESOA,"CM, F&E",Complete,03/24/2017,10/19/2017,09/28/2017
5,MOTT HALL HS - MANHATTAN,SCA Furniture & Equi,F&E,Complete,02/02/2017,F&E,07/11/2017
5,P.S. 154 - MANHATTAN,DOE- RESOA,Construction,In-Progress,08/08/2017,DOER,
5,P.S. 154 - MANHATTAN,Trust For Public Lan,Scope,Complete,01/01/2016,05/30/2017,06/01/2017
5,P.S. 154 - MANHATTAN,Trust For Public Lan,Design,Complete,01/01/2016,05/15/2017,06/01/2017
5,P.S. 154 - MANHATTAN,Trust For Public Lan,Construction,Complete,06/01/2017,12/31/2017,10/30/2017
5,P.S. 154 - MANHATTAN,Trust For Public Lan,F&E,Complete,01/01/2017,06/01/2017,06/01/2017
5,P.S. 175 HENRY H GARNET - M,SCA CIP RESOA,Scope,Complete,01/20/2017,03/20/2017,03/15/2017
5,P.S. 175 HENRY H GARNET - M,SCA CIP RESOA,Design,Complete,03/15/2017,07/28/2017,05/17/2017
5,P.S. 175 HENRY H GARNET - M,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
5,P.S. 175 HENRY H GARNET - M,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
5,P.S. 175 HENRY H GARNET - M,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
5,P.S. 175 HENRY H GARNET - M,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
5,P.S. 175 HENRY H GARNET - M,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
5,P.S. 175 HENRY H GARNET - M,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
5,P.S. 175 HENRY H GARNET - M,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
5,P.S. 175 HENRY H GARNET - M,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
5,P.S. 175 HENRY H GARNET - M,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
5,P.S. 175 HENRY H GARNET - M,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
5,P.S. 175 HENRY H GARNET - M,SCA IEH,Construction,In-Progress,05/12/2017,IEH,
5,P.S. 175 HENRY H GARNET - M,DIIT - PBX Telephone,Purch & Install,In-Progress,06/24/2013,02/01/2016,
5,P.S. 194 - MANHATTAN,SCA CIP RESOA,Scope,Complete,01/27/2017,03/27/2017,04/03/2017
5,P.S. 194 - MANHATTAN,SCA CIP RESOA,Design,Complete,04/03/2017,08/16/2017,05/15/2017
5,P.S. 194 - MANHATTAN,SCA CIP RESOA,Construction,In-Progress,12/21/2017,06/18/2018,
5,P.S. 194 - MANHATTAN,SCA CIP RESOA,"CM, F&E",In-Progress,12/21/2017,06/18/2018,
5,P.S. 194 - MANHATTAN,DOE - Skilled Trades,Construction,In-Progress,09/06/2017,DOES,
5,I.S. 195 - MANHATTAN,SCA CIP,Scope,Complete,08/05/2013,12/20/2013,03/25/2014
5,I.S. 195 - MANHATTAN,SCA CIP,Design,Complete,03/02/2016,08/01/2016,04/14/2016
5,I.S. 195 - MANHATTAN,SCA CIP,Construction,PNS,PNS,PNS,PNS
5,I.S. 195 - MANHATTAN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
5,NEW DESIGN MIDDLE SCHOOL - MAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
5,NEW DESIGN MIDDLE SCHOOL - MAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
5,NEW DESIGN MIDDLE SCHOOL - MAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
5,NEW DESIGN MIDDLE SCHOOL - MAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
5,NEW DESIGN MIDDLE SCHOOL - M,Fast Track Projects,Construction,Complete,01/13/2017,FTK,09/25/2017
5,I.S. 195 - MANHATTAN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
5,NEW DESIGN MIDDLE SCHOOL - MAN,DIIT - RESOA,Purch & Install,Complete,06/21/2017,07/21/2017,09/18/2017
5,P.S. 197 - MANHATTAN,DOE- RESOA,Construction,Complete,07/17/2017,11/15/2017,11/15/2017
5,P.S. 197 - MANHATTAN,DOE - Skilled Trades,Construction,Complete,04/07/2017,06/19/2017,06/19/2017
5,P.S. 200 - MANHATTAN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
5,P.S. 200 - MANHATTAN,DOE - Skilled Trades,Construction,In-Progress,09/06/2017,DOES,
5,I.S. 223 - MANHATTAN,SCA Furniture & Equi,F&E,Complete,02/02/2017,F&E,10/19/2017
5,I.S. 223 - MANHATTAN,DOE- RESOA,Construction,PNS,PNS,PNS,PNS
5,HARLEM VILLAGE ACADEMY CHARTER,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
5,HARLEM VILLAGE ACADEMY CHARTER,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
5,HARLEM VILLAGE ACADEMY CHARTER,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
5,HARLEM VILLAGE ACADEMY CHARTER,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
5,P.S. 318 - MANHATTAN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
5,P.S. 318 - MANHATTAN,DIIT - RESOA,Purch & Install,Complete,06/21/2017,07/21/2017,09/01/2017
5,TEACHER'S COLLEGE COMMUNITY SC,SCA Lease Site Impro,Scope,In-Progress,12/19/2017,01/16/2018,
5,TEACHER'S COLLEGE COMMUNITY SC,SCA Lease Site Impro,Design,PNS,PNS,PNS,PNS
5,TEACHER'S COLLEGE COMMUNITY SC,SCA Lease Site Impro,Construction,PNS,PNS,PNS,PNS
5,TEACHER'S COLLEGE COMMUNITY SC,SCA Lease Site Impro,"CM, F&E",PNS,PNS,PNS,PNS
5,TEACHER'S COLLEGE COMMUNITY SC,SCA Lease Site Impro,Scope,Complete,08/10/2017,11/22/2017,11/20/2017
5,TEACHER'S COLLEGE COMMUNITY SC,SCA Lease Site Impro,Design,In-Progress,11/21/2017,03/14/2018,
5,TEACHER'S COLLEGE COMMUNITY SC,SCA Lease Site Impro,Construction,PNS,PNS,PNS,PNS
5,TEACHER'S COLLEGE COMMUNITY SC,SCA Lease Site Impro,"CM, F&E",PNS,PNS,PNS,PNS
5,URBAN ASMBLY SCHL GLOBAL COMM,SCA CIP,Scope,Complete,11/16/2016,04/05/2017,04/07/2017
5,URBAN ASMBLY SCHL GLOBAL COMM,SCA CIP,Design,Complete,06/07/2017,11/07/2017,11/14/2017
5,URBAN ASMBLY SCHL GLOBAL COMM,SCA CIP,Construction,PNS,PNS,PNS,PNS
5,URBAN ASMBLY SCHL GLOBAL COMM,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
5,THE URBAN ASSEMBLY SCHOOL,Fast Track Projects,Construction,Complete,01/17/2017,FTK,10/02/2017
15,PRE-K CENTER @ 219 25TH STREET,PRE-K,"CM, F&E",Complete,04/20/2016,06/13/2017,09/06/2017
15,P.S. @ 836-841 5TH AVENUE,SCA Capacity,Scope,In-Progress,08/03/2017,01/17/2018,
15,P.S. @ 836-841 5TH AVENUE,SCA Capacity,Design,PNS,PNS,PNS,PNS
15,P.S. @ 836-841 5TH AVENUE,SCA Capacity,Construction,PNS,PNS,PNS,PNS
15,P.S. @ 836-841 5TH AVENUE,SCA Capacity,"CM,Art,F&E",PNS,PNS,PNS,PNS
15,P.S. @ 736 48TH ST - BROOKLYN,SCA Lease Site Impro,Scope,Complete,10/19/2017,11/22/2017,11/20/2017
15,P.S. @ 736 48TH ST - BROOKLYN,SCA Lease Site Impro,Design,In-Progress,11/21/2017,04/13/2018,
15,P.S. @ 736 48TH ST - BROOKLYN,SCA Lease Site Impro,Construction,PNS,PNS,PNS,PNS
15,P.S. @ 736 48TH ST - BROOKLYN,SCA Lease Site Impro,"CM, F&E",PNS,PNS,PNS,PNS
15,P.S. @ 736 48TH ST - BROOKLYN,SCA Lease Site Impro,Scope,Complete,05/08/2017,05/08/2017,05/08/2017
15,P.S. @ 736 48TH ST - BROOKLYN,SCA Lease Site Impro,Design,Complete,05/10/2017,10/27/2017,11/14/2017
15,P.S. @ 736 48TH ST - BROOKLYN,SCA Lease Site Impro,Construction,PNS,PNS,PNS,PNS
15,P.S. @ 736 48TH ST - BROOKLYN,SCA Lease Site Impro,"CM, F&E",PNS,PNS,PNS,PNS
15,P.S. @ 4525 8TH AVENUE,SCA Capacity,Scope,In-Progress,08/01/2017,01/25/2018,
15,P.S. @ 4525 8TH AVENUE,SCA Capacity,Design,PNS,PNS,PNS,PNS
15,P.S. @ 4525 8TH AVENUE,SCA Capacity,Construction,PNS,PNS,PNS,PNS
15,P.S. @ 4525 8TH AVENUE,SCA Capacity,"CM,Art,F&E",PNS,PNS,PNS,PNS
15,THE LITTLE BROOKLYN PRE-K CTR,SCA Furniture & Equi,F&E,Complete,01/19/2017,F&E,11/29/2017
15,THE LITTLE BROOKLYN PRE-K CTR,SCA Furniture & Equi,F&E,Complete,01/19/2017,F&E,11/29/2017
15,WEST BROOKLYN COMMUNITY HS - K,DIIT - RESOA,Purch & Install,Complete,06/07/2017,07/07/2017,09/13/2017
15,HEADQTRS 65 CNTRL ADMIN. - K,SCA CIP,Scope,Complete,08/11/2016,01/31/2017,12/19/2016
15,HEADQTRS 65 CNTRL ADMIN. - K,SCA CIP,Design,Complete,01/31/2017,06/30/2017,07/17/2017
15,HEADQTRS 65 CNTRL ADMIN. - K,SCA CIP,Construction,PNS,PNS,PNS,PNS
15,HEADQTRS 65 CNTRL ADMIN. - K,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
15,BOYS AND GIRLS YABC,SCA IEH,Construction,In-Progress,07/03/2017,IEH,
15,COBBLE  HILL SCHL OF AMER STDS,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
15,COBBLE  HILL SCHL OF AMER STDS,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
15,COBBLE  HILL SCHL OF AMER STDS,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
15,COBBLE  HILL SCHL OF AMER STDS,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
15,SOUTH BROOKLYN COMM. HS - K,DOE- RESOA,Construction,In-Progress,08/18/2017,DOER,
15,SOUTH BROOKLYN COMM. HS - K,DOE- RESOA,Construction,In-Progress,08/08/2017,DOER,
15,P.S. 418 - BROOKLYN,SCA CIP,Scope,Complete,04/17/2015,10/27/2016,09/22/2016
15,P.S. 418 - BROOKLYN,SCA CIP,Design,Complete,09/26/2016,04/03/2017,04/21/2017
15,P.S. 418 - BROOKLYN,SCA CIP,Construction,PNS,PNS,PNS,PNS
15,P.S. 418 - BROOKLYN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
15,P.S. 372 -THE CHILDREN'S SCHOO,DIIT - RESOA,Purch & Install,Complete,06/17/2016,07/09/2016,12/22/2017
15,K372 SPED - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,06/19/2017,07/19/2017,10/16/2017
15,I.S. 443 - BROOKLYN,SCA CIP,Scope,Complete,11/28/2012,04/23/2014,06/23/2014
15,I.S. 443 - BROOKLYN,SCA CIP,Design,Complete,12/10/2014,05/13/2015,08/24/2015
15,I.S. 443 - BROOKLYN,SCA CIP,Construction,In-Progress,07/17/2017,01/07/2019,
15,I.S. 443 - BROOKLYN,SCA CIP,"CM, F&E",In-Progress,07/17/2017,01/07/2019,
15,P.S. 295 - BROOKLYN,SCA CIP RESOA,Scope,Complete,11/28/2012,04/23/2014,06/23/2014
15,P.S. 295 - BROOKLYN,SCA CIP RESOA,Design,Complete,12/10/2014,05/13/2015,08/24/2015
15,P.S. 295 - BROOKLYN,SCA CIP RESOA,Construction,In-Progress,07/17/2017,01/07/2019,
15,P.S. 295 - BROOKLYN,SCA CIP RESOA,"CM, F&E",In-Progress,07/17/2017,01/07/2019,
15,I.S. 443 - BROOKLYN,SCA IEH,Construction,Complete,08/12/2017,IEH,08/13/2017
15,I.S. 443 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,05/01/2017,01/15/2018,09/20/2017
15,NEW VOICES SCHOOL OF ACADEMIC,DIIT - RESOA,Purch & Install,In-Progress,12/14/2017,01/13/2018,
15,P.S. 146 - BROOKLYN,DOE - Lead Paint,Construction,In-Progress,08/23/2016,DOEL,
15,P.S. 295 - BROOKLYN,DOE- RESOA,Construction,In-Progress,08/03/2016,DOER,
15,P.S. 230 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
15,P.S. 230 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
15,P.S. 230 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
15,P.S. 230 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
16,P.S. 5 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
16,P.S. 5 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
16,P.S. 5 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
16,P.S. 5 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
16,P.S. 5 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,05/19/2017,01/15/2018,10/16/2017
16,P.S. 5 - BROOKLYN,DOE - Lead Paint,Construction,In-Progress,02/16/2017,DOEL,
16,P.S. 21 - BROOKLYN,SCA CIP,Scope,Complete,07/31/2015,10/30/2015,12/01/2015
16,P.S. 21 - BROOKLYN,SCA CIP,Design,Complete,01/13/2016,06/14/2016,06/03/2016
16,P.S. 21 - BROOKLYN,SCA CIP,Construction,In-Progress,08/21/2017,08/20/2018,
16,P.S. 21 - BROOKLYN,SCA CIP,"CM, F&E",In-Progress,08/21/2017,08/20/2018,
16,P.S. 21 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
16,P.S. 21 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
16,P.S. 21 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
16,P.S. 21 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
16,P.S. 21 - BROOKLYN,SCA IEH,Construction,Complete,04/07/2017,IEH,07/30/2017
16,K140 SPED - BROOKLYN,DOE - Skilled Trades,Construction,In-Progress,03/21/2017,DOES,
16,P.S. 25 - BROOKLYN,SCA CIP,Scope,Complete,07/18/2013,12/04/2013,10/22/2013
16,P.S. 25 - BROOKLYN,SCA CIP,Design,Complete,10/31/2013,04/07/2014,03/24/2014
16,P.S. 25 - BROOKLYN,SCA CIP,Construction,In-Progress,08/25/2014,11/17/2015,
16,P.S. 25 - BROOKLYN,SCA CIP,"CM, F&E",In-Progress,08/25/2014,11/17/2015,
16,P.S. 25 - BROOKLYN,SCA IEH,Construction,Complete,06/16/2017,IEH,07/15/2017
16,P.S. 25 - BROOKLYN,SCA IEH,Construction,Complete,07/03/2017,IEH,07/10/2017
16,P.S. 25 - BROOKLYN,SCA Furniture & Equi,F&E,Complete,01/19/2017,F&E,09/14/2017
16,P.S. 25 - BROOKLYN,Fast Track Projects,Construction,Complete,05/08/2017,FTK,09/29/2017
16,I.S. 534 - BROOKLYN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
16,P.S. 25 - BROOKLYN,DOE - Lead Paint,Construction,Complete,02/16/2017,DOEL,05/15/2017
16,P.S. 25 - BROOKLYN,DOE - Skilled Trades,Construction,In-Progress,11/13/2017,DOES,
16,FREDERICK DOUGLASS ACADEMY IV,SCA CIP,Scope,Complete,11/14/2014,04/03/2015,03/09/2015
16,FREDERICK DOUGLASS ACADEMY IV,SCA CIP,Design,Complete,04/02/2015,09/17/2015,02/04/2016
